trail_name,location,distance_miles,elevation_gain_ft,difficulty,drive_time_min,best_start_time,season_window,required_pass,highlight,wta_url,alltrails_url
Green Lake Loop,Seattle,2.8,50,easy,15,morning,year-round,none,Cherry blossoms and waterfowl,,https://www.alltrails.com/trail/us/washington/green-lake-loop-trail
Snoqualmie Falls,Snoqualmie,1.4,100,easy,40,anytime,year-round,none,268-foot waterfall at peak spring flow,https://www.wta.org/go-hiking/hikes/snoqualmie-falls,
Twin Falls,North Bend,2.4,500,easy/moderate,35,early morning,year-round,Discover Pass,Trio of cascades at peak flow through mossy forest,https://www.wta.org/go-hiking/hikes/twin-falls-state-park,https://www.alltrails.com/trail/us/washington/twin-falls-trail
Coal Creek Falls,Issaquah,2.2,475,moderate,25,early morning,Oct-May (dry in summer),Discover Pass,28-foot waterfall best after spring rain,https://www.wta.org/go-hiking/hikes/coal-creek-falls,
Little Si,North Bend,3.7,1300,moderate,35,early morning,year-round,Discover Pass,Snoqualmie Valley views and spring wildflowers,https://www.wta.org/go-hiking/hikes/little-si,https://www.alltrails.com/trail/us/washington/little-si-trail
Rattlesnake Ledge,North Bend,4.0,1160,moderate,40,early morning,year-round,none,Dramatic lake and Cascade views,https://www.wta.org/go-hiking/hikes/rattlesnake-ledge,https://www.alltrails.com/trail/us/washington/rattlesnake-ledge
Franklin Falls,Snoqualmie Pass,2.0,400,easy,50,mid morning,year-round,NW Forest Pass,Misty 70-foot waterfall through old growth forest,https://www.wta.org/go-hiking/hikes/franklin-falls,
Poo Poo Point,Issaquah,4.0,1650,moderate,30,early morning,year-round,Discover Pass,Paraglider launch with spring wildflowers,,https://www.alltrails.com/trail/us/washington/chirico-trail-to-poo-poo-point--2
Teneriffe Falls,North Bend,5.6,1585,moderate,45,early morning,year-round,Discover Pass,Full-volume waterfall via 22 switchbacks,https://www.wta.org/go-hiking/hikes/teneriffe-falls,
Wallace Falls,Gold Bar,5.6,1300,moderate,60,early morning,year-round,Discover Pass,Nine waterfalls with three-tiered main cascade,https://www.wta.org/go-hiking/hikes/wallace-falls,
Lake 22,Granite Falls,5.4,1350,moderate,60,early morning,May-Nov,NW Forest Pass,First alpine lake with waterfall views,https://www.wta.org/go-hiking/hikes/lake-twenty-two,https://www.alltrails.com/trail/us/washington/lake-22-trail
Lake Serene and Bridal Veil Falls,Stevens Pass,8.2,2000,moderate/hard,70,very early,May-Nov,NW Forest Pass,Dramatic waterfall and alpine lake with Mt Index cliff face,https://www.wta.org/go-hiking/hikes/lake-serene,https://www.alltrails.com/trail/us/washington/bridal-veil-falls-and-lake-serene
Heather Lake,Granite Falls,4.4,1204,moderate,70,early morning,May-Nov,NW Forest Pass,Subalpine lake on Mt Pilchuck slopes,https://www.wta.org/go-hiking/hikes/heather-lake-1,
